lat,lng,country,target
47.8573,35.1768,Ukraine,0
28.8418,78.7568,India,0
36.89,30.7,Turkey,0
14.7979,42.953,Yemen,0
-20.45,-54.6166,Brazil,0
30.0004,120.57,China,0
47.6999,128.9,China,0
12.9,74.85,India,0
51.25,7.17,Germany,0
36.6439,127.5012,"Korea, South",0
6.92,122.08,Philippines,0
39.9101,127.5454,"Korea, North",0
30.0533,119.9519,China,0
8.49,4.55,Nigeria,0
49.2504,6.97,Germany,0
42.0105,121.66,China,0
32.57,110.78,China,0
30.22,67.025,Pakistan,0
-8.12,-79.02,Peru,0
-5.89,22.4,Congo (Kinshasa),0
40.98,39.72,Turkey,0
35.5004,112.83,China,0
35.1053,-106.6464,United States,1
51.775,19.4514,Poland,0
50.06,19.96,Poland,0
25.42,-101.005,Mexico,0
-23.2,-45.8799,Brazil,0
39.8231,127.6232,"Korea, North",0
13.6045,44.0394,Yemen,0
-29.61,30.39,South Africa,0
35.7473,-5.8327,Morocco,0
24.8168,120.9767,Taiwan,0
24.0734,120.5134,Taiwan,0
16.7,74.22,India,0
40.39,71.78,Uzbekistan,0
41,71.67,Uzbekistan,0
50.63,5.58,Belgium,0
8.37,-62.62,Venezuela,0
33.5277,-86.7987,United States,1
47.4,130.37,China,0
13.6192,123.1814,Philippines,0
54.36,18.64,Poland,0
37.3481,126.8595,"Korea, South",0
49.45,11.08,Germany,0
7.8504,3.93,Nigeria,0
20.95,77.77,India,0
-8.65,115.22,Indonesia,0
13.06,5.24,Nigeria,0
21.4804,109.1,China,0
53.08,8.8,Germany,0
35.5613,45.4309,Iraq,0
52.367,9.7167,Germany,0
7.92,-72.52,Colombia,0
43.25,-79.83,Canada,0
-3.3396,37.34,Tanzania,0
24.8,113.58,China,0
32.8009,130.7006,Japan,0
39.7797,-84.1998,United States,1
34.6004,119.17,China,0
16.85,-99.916,Mexico,0
31.61,65.6949,Afghanistan,0
30.3204,78.05,India,0
43.168,-77.6162,United States,1
35.8314,127.1404,"Korea, South",0
39.67,66.945,Uzbekistan,0
23.7004,113.0301,China,0
27.3386,-82.543,United States,1
36.1839,113.1053,China,0
53.4804,49.53,Russia,0
-8.11,-35.02,Brazil,0
34.9858,138.3854,Japan,0
-20.17,28.58,Zimbabwe,0
10.92,-74.77,Colombia,0
36.7831,-119.7941,United States,1
33.9004,-5.56,Morocco,0
-34.9096,-57.96,Argentina,0
20.5604,74.525,India,0
6.45,7.5,Nigeria,0
30.22,115.1,China,0
-10.9,-37.12,Brazil,0
40.5961,-75.4755,United States,1
50.7205,7.08,Germany,0
15.5,-88.03,Honduras,0
14.44,79.9899,India,0
37.5,15.08,Italy,0
26.7504,83.38,India,0
4.6,101.065,Malaysia,0
41.7846,129.79,"Korea, North",0
36.1284,-95.9043,United States,1
36.55,139.87,Japan,0
35.7004,114.98,China,0
32.0003,44.3354,Iraq,0
-25.57,-49.18,Brazil,0
-23.6528,-46.5278,Brazil,0
50.35,18.91,Poland,0
-4.77,11.88,Congo (Brazzaville),0
21.2622,40.3823,Saudi Arabia,0
30.5903,32.26,Egypt,0
37.9722,-122.0016,United States,1
13.9304,75.56,India,0
10.97,106.8301,Vietnam,0
25.6005,103.8166,China,0
47.9283,33.345,Ukraine,0
32.55,35.85,Jordan,0
11.0804,77.33,India,0
40.79,72.34,Uzbekistan,0
45.02,39,Russia,0
41.65,-0.89,Spain,0
44.41,8.93,Italy,0
37.9204,40.23,Turkey,0
19.7334,-101.1895,Mexico,0
54.33,48.41,Russia,0
52.1003,5.12,Netherlands,0
-5.03,18.85,Congo (Kinshasa),0
25.3487,49.5856,Saudi Arabia,0
-7.78,110.375,Indonesia,0
51.1104,17.03,Poland,0
49.883,-97.166,Canada,0
56.85,53.23,Russia,0
26.6445,-81.9955,United States,1
42.1155,-72.5395,United States,1
39.5401,115.79,China,0
22.2304,84.83,India,0
